FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
202,0,12170392.781500000506639,4349160.440039999783039,1286.099999999999909,9848.004150390625000,117779.200284090911737
203,0,12170547.525399999693036,4349162.655009999871254,1288.636363636363740,9780.579541015624272,117690.215909090911737
204,0,12170702.269500000402331,4349164.868130000308156,1293.090909090909008,9713.752734375000728,117611.211328125005821
205,0,12170857.013699999079108,4349167.079420000314713,1293.000000000000000,9648.445507812499272,117534.222656250000000
206,0,12171011.758099999278784,4349169.288859999738634,1291.250000000000000,9578.842122395833940,117457.376171875002910
207,0,12171166.502599999308586,4349171.496469999663532,1292.250000000000000,9511.520166015625364,117380.669140625002910
208,0,12171321.247300000861287,4349173.702229999937117,1291.450000000000045,9452.434814453125000,117304.105859375005821
209,0,12171475.992100000381470,4349175.906150000169873,1290.950000000000045,9395.372900390624636,117220.050455729171517
210,0,12171630.737099999561906,4349178.108230000361800,1294.958333333333258,9340.371484375000364,117127.436755952381645
211,0,12171785.482200000435114,4349180.308469999581575,1291.299999999999955,9287.467041015625000,117034.194921874994179
212,0,12171940.227499999105930,4349182.506860000081360,1291.049999999999955,9231.777303059896440,116958.211718749997090
213,0,12172094.972899999469519,4349184.703420000150800,1294.650000000000091,9178.552636718750364,116882.372656249994179
214,0,12172249.718499999493361,4349186.898129999637604,1292.650000000000091,9107.199730282738528,116806.674609374997090
215,0,12172404.464299999177456,4349189.091000000014901,1295.750000000000000,9057.575097656250364,116723.577148437500000
216,0,12172559.210100000724196,4349191.282039999961853,1298.583333333333258,9014.497851562500728,116640.648437500000000
217,0,12172713.956199999898672,4349193.471219999715686,1289.450000000000045,8973.721533203124636,116565.412109375000000
218,0,12172868.702400000765920,4349195.658569999970496,1294.799999999999955,8934.303795855978024,116490.321484375002910
219,0,12173023.448699999600649,4349197.844080000184476,1295.700000000000045,8890.403227306547706,116415.375000000000000
220,0,12173178.195199999958277,4349200.027739999815822,1295.299999999999955,8856.211962890625728,116340.572265625000000
221,0,12173332.941899999976158,4349202.209569999948144,1294.799999999999955,8823.377880859374272,116261.780570652175811
