FID,Id,X,Y,DEM,Eq_Dis,Faults_Dis,Aspect,Comp_Cur,WaterSys_Dis,Plan_Cur,Prof_Cur,Slope
181,0,12158175.55,4432571.843,1491,29607.90039,38586,355.6010132,-0.111111,6513.390137,-0.137514,-0.0264026,9.2566795
182,0,12158205.55,4432571.843,1492,29603.30078,38579.39844,3.81407,0.333333,6514.419922,0.222222,-0.111111,7.1406698
183,0,12158235.55,4432571.843,1491,29598.69922,38572.69922,33.1113014,0.444444,6515.600098,0.299145,-0.145299,6.5269899
184,0,12158265.55,4432571.843,1488,29594.09961,38566.10156,47.8624001,0,6516.910156,0.025641,0.025641,6.7296901
185,0,12158295.55,4432571.843,1485,29589.59961,38559.30078,35.5377007,-0.333333,6518.359863,-0.260163,0.0731707,6.1373801
186,0,12158325.55,4432571.843,1484,29585.09961,38552.5,19.6537991,0,6519.950195,-0.0038314,-0.0038314,7.0620399
187,0,12158355.55,4432571.843,1482,29580.59961,38545.60156,16.3894997,-0.444444,6521.669922,-0.166667,0.277778,8.3999901
188,0,12158385.55,4432571.843,1481,29576.09961,38538.80078,355.3649902,-0.666667,6523.529785,-0.327236,0.339431,8.7924099
189,0,12158415.55,4432571.843,1483,29571.69922,38532,330.9450073,-0.444444,6525.529785,-0.271242,0.173203,9.7367802
190,0,12158445.55,4432571.843,1487,29567.30078,38525.19922,328.4960022,0.333333,6527.669922,0.0928105,-0.240523,8.6146402
191,0,12158475.55,4432571.843,1489,29562.90039,38518.39844,356.1860046,0.666667,6529.950195,0.348889,-0.317778,7.1406698
192,0,12158505.55,4432571.843,1488,29558.59961,38511.69922,14.4208002,0.444444,6532.359863,0.0833333,-0.361111,8.5631304
193,0,12158535.55,4432571.843,1486,29554.30078,38505,21.0375004,0.111111,6534.910156,0.0666667,-0.0444444,9.8764696
194,0,12158565.55,4432571.843,1483,29550,38498.30078,20.0951996,-0.444444,6537.589844,-0.241379,0.203065,10.3098001
195,0,12158595.55,4432571.843,1482,29545.80078,38491.60156,3.9909101,-0.333333,6540.410156,-0.222222,0.111111,10.1819
196,0,12158625.55,4432571.843,1483,29541.5,38484.89844,354.8059998,0.222222,6543.370117,0.111111,-0.111111,10.4308004
197,0,12158655.55,4432571.843,1483,29537.30078,38478.30078,353.6600037,-0.222222,6546.459961,-0.106102,0.11612,10.6835003
198,0,12158685.55,4432571.843,1484,29533.19922,38471.69922,0,0.222222,6549.689941,0.222222,0,11.3099003
199,0,12158715.55,4432571.843,1483,29529.09961,38464.89844,1.16914,-0.333333,6553.060059,-0.222222,0.111111,11.5416002
200,0,12158745.55,4432571.843,1484,29525,38458,350.5379944,0,6556.560059,-0.0957265,-0.0957265,11.4617996
201,0,12158775.55,4432571.843,1486,29520.90039,38451.19922,358.7810059,0.666667,6535.459961,0.329085,-0.337582,11.0825996
202,0,12158805.55,4432571.843,1485,29516.80078,38444.30078,5.7105899,0.333333,6508.339844,-0.0726073,-0.405941,9.5086603
203,0,12158835.55,4432571.843,1485,29512.80078,38437.5,5.9061399,0.555556,6481.25,0.303983,-0.251572,6.92625
204,0,12158865.55,4432571.843,1483,29508.90039,38430.80078,13.3924999,-0.333333,6454.180176,-0.149425,0.183908,5.1396899
205,0,12158895.55,4432571.843,1483,29504.90039,38424,16.3894997,0.111111,6425.680176,0.117647,0.006536,4.2226901
206,0,12158925.55,4432571.843,1482,29501,38417.30078,10.0080004,-0.111111,6395.700195,-0.117647,-0.006536,4.11408
207,0,12158955.55,4432571.843,1482,29497.09961,38410.5,339.7749939,-0.222222,6365.729981,-0.100427,0.121795,4.8225398
208,0,12158985.55,4432571.843,1483,29493.19922,38403.89844,328.2409973,-0.444444,6335.759766,-0.145425,0.29902,5.8755698
209,0,12159015.55,4432571.843,1485,29489.40039,38397.19922,341.5650024,0,6305.779785,0.211111,0.211111,6.0172801
210,0,12159045.55,4432571.843,1485,29485.59961,38390.5,8.7461596,-0.222222,6275.810059,0.102222,0.324444,6.2550998
211,0,12159075.55,4432571.843,1484,29481.80078,38383.89844,36.027401,0,6245.839844,0.188034,0.188034,6.46663
212,0,12159105.55,4432571.843,1481,29478.09961,38377.30078,54.4622993,-0.333333,6215.870117,-0.2,0.133333,6.1373801
