FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
109,H13,12161220.000000000000000,4434999.345999999903142,109,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
110,H13,12161220.000000000000000,4434999.345999999903142,110,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
111,H13,12161220.000000000000000,4434999.345999999903142,111,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
112,H13,12161220.000000000000000,4434999.345999999903142,112,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
113,H13,12161220.000000000000000,4434999.345999999903142,113,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
114,H13,12161220.000000000000000,4434999.345999999903142,114,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
115,H13,12161220.000000000000000,4434999.345999999903142,115,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
116,H13,12161220.000000000000000,4434999.345999999903142,116,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
117,H13,12161220.000000000000000,4434999.345999999903142,117,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
118,H13,12161220.000000000000000,4434999.345999999903142,118,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
119,H13,12161220.000000000000000,4434999.345999999903142,119,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
